H2_SITE_ID,NAME,COMUNE,PROVINCIA,LOCATION_TEXT,LATITUDE,LONGITUDE,LOCATION_PRECISION,LOCATION_CONFIDENCE,TYPE,SCOPE_CLASS,STATUS,STATUS_EVIDENCE_DATE,VERIFIED_ON,PROMOTER_OPERATOR,ELECTROLYZER_POWER,PRODUCTION_CAPACITY,REFUELING_CAPACITY,STORAGE_CAPACITY,OTHER_CAPACITY,TECHNOLOGY,PRESSURE,ACCESS,AFIR_TENT_RELATION,PRIMARY_SOURCE_ID,SECONDARY_SOURCE_ID,LOCATION_SOURCE_ID,NOTES,LIMITATIONS
FVG_H2_001,Hydrogen Hub Trieste,Trieste,TS,"Via Carlo Errera, area ex Esso lungo il Canale Navigabile, Trieste",,,SITE_STREET,HIGH,INTEGRATED_H2_SITE,CORE_H2_INFRA,UNDER_CONSTRUCTION,2026-06-16,2026-09-22,AcegasApsAmga S.p.A.,5 MW,up to 370 t H2/year; maximum annual production declared in regional strategy,,2 t H2 on-site storage,PV 4.85 MWp; NAHV compressor testbed up to 500 bar,electrolysis powered by renewable electricity; industrial symbiosis with adjacent waste-to-energy plant,up to 500 bar compressor testbed,industrial/logistics destination documented; public HRS access not established,No AFIR compliance inferred; production site is not automatically an AFIR-countable public HRS,S003,S001;S002;S021,S002,"NAHV Testbed VIII (Acegas production) and Testbed III (Snam/Cubogas compressor) are components of the same physical Trieste Hub, not separate sites.",No primary commissioning/operational notice found by 2026-09-22; scheduled completion dates are not proof of operation.
FVG_H2_002,APT EcoMove Monfalcone / Lisert hydrogen plant,Monfalcone,GO,"Zona industriale di Monfalcone, accesso da Via Consiglio d'Europa (Lisert)",,,SITE_ACCESS,HIGH,INTEGRATED_H2_SITE,CORE_H2_INFRA,UNDER_CONSTRUCTION,2026-07-22,2026-09-22,Azienda Provinciale Trasporti S.p.A. (APT Gorizia),1 MW,up to 400 kg H2/day; maximum daily production reported in NAHV/APT technical material,throughput not separately documented from production capacity,,3 dispensers: 2 bus 350 bar and 1 vehicle 700 bar; compressors 500/1000 bar; trailer loading; PV 1.67 MW,electrolysis; compression/storage/refueling,350 bar and 700 bar dispensing; 500/1000 bar compression,"designed for APT fleet; potential external users mentioned by operator, but public access status not established",Potential TEN-T context; no AFIR compliance inferred or certified,S004,S005;S021,S005,Current-first sources in July 2026 still describe realization/advanced works. PV component reported completed separately by APT.,No commissioning evidence found; do not classify OPERATIONAL.
FVG_H2_003,Q8 Porpetto PNRR hydrogen refueling project,Porpetto,UD,"Variante S.P. 80, Comune di Porpetto (UD), presso il nuovo sito Q8",,,ROAD_CORRIDOR_SITE,MEDIUM_HIGH,REFUELING_STATION,CORE_H2_INFRA,FUNDED_COMMITTED,2026-09-22,2026-09-22,Kuwait Petroleum Italia S.p.A. / Q8,,,,,PNRR M2C2 I3.3 new renewable-hydrogen refueling station project,,,public retail site exists; H2 access not established because H2 component is not evidenced as operational,No AFIR compliance inferred; location is near A4 but technical/public-H2 requirements are not proven,S006,S007,S006,"CUP G42C22000860004 remains ACTIVE for an H2 refueling station; current Q8 opening page lists diesel, petrol, HVO, AdBlue, CNG/LNG and EV but not hydrogen.","The base filling station is operational, but current primary evidence does not establish construction/commissioning of the H2 component. Funding commitment is not proof of H2 operation."
FVG_H2_004,SOLHX – renewable hydrogen production and refueling project,Manzano,UD,Comune di Manzano (exact industrial parcel/address not recovered from primary grant decree),,,MUNICIPALITY_ONLY,MEDIUM,INTEGRATED_H2_SITE,CORE_H2_INFRA,FUNDED_COMMITTED,2025-12-18,2026-09-22,Cantieri Navali di Venezia S.r.l.,,,,,grant includes renewable H2 production plus fixed or mobile H2 refueling infrastructure for public/heavy transport,renewable hydrogen production; funded refueling component,,public/heavy-transport refueling component funded; final access configuration not documented,No AFIR compliance inferred,S008,S022,S022,CUP D92C25000190003; grant EUR 8.415m. Grant decree allows works to start within 18 months and finish within 36 months from concession.,Exact parcel/address and evidence of works started not found. Municipality attribution uses a secondary cross-check and must be spatially tightened before distance calculations.
FVG_H2_005,ABS renewable hydrogen production / NAHV steel-use site,Pozzuolo del Friuli,UD,"ABS, Via Buttrio 28, 33050 Pozzuolo del Friuli (Cargnacco)",,,INDUSTRIAL_SITE_ADDRESS,HIGH,ELECTROLYZER_PRODUCTION,CORE_H2_INFRA,FUNDED_COMMITTED,2025-12-18,2026-09-22,Acciaierie Bertoli Safau S.p.A. (ABS),,82.55 t H2/year; corrected renewable-H2 quantity for grant evaluation using dedicated additional generation; decree notes 138 t/year broader figure including GO grid electricity,,,NAHV experimental H2 burners at same industrial site,renewable H2 production plus industrial hydrogen use testbed,,industrial/private use,"No AFIR compliance inferred; industrial production/use site, not evidenced as public HRS",S009,S010;S020,S010,CUP D62C25000260003; EUR 6.585m grant. NAHV Testbed II is associated to the same ABS industrial site and is not duplicated.,"No evidence found that grant-funded H2 production works had started by verification date. 82.55 t/year is a grant-evaluation renewable-H2 figure, not treated as universal plant nameplate capacity."
FVG_H2_006,Ferriere Nord NAHV FENO industrial H2 testbed,Osoppo,UD,"Ferriere Nord, Zona Industriale Rivoli, 33010 Osoppo (UD)",,,INDUSTRIAL_SITE_ADDRESS,HIGH,INDUSTRIAL_H2_TESTBED,H2_TESTBED_CONTEXT,FUNDED_COMMITTED,2026-09-22,2026-09-22,Ferriere Nord S.p.A. / Gruppo Pittini,,,,,"burner and piping/blending/control system; target blends up to 50% H2; NAHV EU contribution EUR 701,225",H2/natural-gas blending for reheating furnace,,industrial/private,Not an AFIR refueling asset,S012,S011,S011,Physical industrial testbed site is georeferenceable and NAHV-funded.,No evidence in current sources of a public production/refueling/storage asset; do not conflate with core H2 network infrastructure.
FVG_H2_007,Faber NAHV hydrogen storage-system testbed,Cividale del Friuli,UD,"Faber Industrie, Via dell'Industria 64, 33043 Cividale del Friuli (UD)",,,INDUSTRIAL_SITE_ADDRESS,HIGH,H2_COMPONENT_TESTBED,H2_TESTBED_CONTEXT,UNDER_CONSTRUCTION,2026-09-22,2026-09-22,Faber Industrie S.p.A.,,,,,"composite vessel >300 L water volume; automated line target 10,000 cylinders/year",high-pressure composite hydrogen cylinder manufacturing/validation,at least 500 bar,industrial/private,Not an AFIR refueling asset,S013,,S013,NAHV states the prototype has been industrially validated and is being implemented on a fully automated line.,"Component-manufacturing/testbed infrastructure, not a stationary regional H2 storage depot. >300 L is vessel water volume, not H2 mass storage capacity."
FVG_H2_008,H2SmartCampus – I-CampusH2 + H2SmartLab,Trieste,TS,"Area Science Park, Campus di Basovizza, SS14 km 163.5, 34149 Trieste",45.64,13.85,CAMPUS,HIGH,H2_RESEARCH_INFRASTRUCTURE,H2_TESTBED_CONTEXT,FUNDED_COMMITTED,2026-02-27,2026-09-22,Area Science Park,,,,,research infrastructure for materials/components and integrated H2-energy systems,in-operando characterization; H2 system modelling and experimental stress testing,,research access,Not an AFIR refueling asset,S014,S015,S015,Regional-funded project duration 01/01/2026–31/01/2029 at Basovizza Campus; consolidates two physical research infrastructures.,Not a commercial H2 production/refueling node; ecosystem/testbed context only unless a later methodology decides otherwise.
FVG_H2_009,Plose Pontebba – announced hydrogen addition,Pontebba,UD,"Autoporto di Pontebba, località San Leopoldo, 33016 Pontebba (UD)",,,LOGISTICS_SITE,HIGH,REFUELING_STATION,ANNOUNCED_CONTEXT,ANNOUNCED_UNVERIFIED,2026-09-22,2026-09-22,Autoplose Sadobre / Autoporto Pontebba,,,,,announced future hydrogen distribution at existing multi-fuel truck stop,,,existing fuel station public; H2 access not applicable until built,No AFIR compliance inferred,S016,S017,S017,"Regional 2024 communication says hydrogen distribution remained an intention; current operator page lists diesel, HVO, petrol, CNG, LNG and EV charging, not H2.",Older 2022 wording could be misread as operational H2. Current-first verification does not support an operational H2 asset.
FVG_H2_010,CTS H2 NAHV modular HRS testbed – site not secured,Brugnera,PN,CTS H2 leader in Brugnera; final demonstration/HRS site not secured in current project material,,,LEADER_MUNICIPALITY_NOT_FINAL_SITE,LOW,INTEGRATED_H2_SITE,H2_TESTBED_CONTEXT,ANNOUNCED_UNVERIFIED,2026-09-22,2026-09-22,Clean Technology Systems H2 (CTS H2),,,,,modular transportable electrolyzer/storage/HRS concept,electrolysis; high-pressure storage; modular HRS,,intended for private or public HRS use,No AFIR compliance inferred,S018,S019,S018,"NAHV project is real and funded, but project material describes unresolved site-selection constraints; leader municipality is not treated as final asset location.",Not spatial-baseline-ready for distance calculations until a final physical site is documented.
