source_dataset_id,municipality_code,source_layer,native_zone_code,native_zone_description,generator_class,mapping_rule,mapping_status,evidence,notes,source_feature_count
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,A01,ZONA_OM=A01 | ART_NTA=13/13.1,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,30
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,A02,ZONA_OM=A02 | ART_NTA=13/13.2,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,22
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,A03,ZONA_OM=A03 | ART_NTA=13/13.3,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,10
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,A1,ZONA_OM=A1 | ART_NTA=12,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,16
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,ARCHEO,ZONA_OM=ARCHEO | ART_NTA=-,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,2
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,B1,ZONA_OM=B1 | ART_NTA=14.1,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,85
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,B2,ZONA_OM=B2 | ART_NTA=14.2,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,45
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,B3,ZONA_OM=B3 | ART_NTA=14.3,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,11
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,B4,ZONA_OM=B4 | ART_NTA=14.4,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,7
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,B5,ZONA_OM=B5 | ART_NTA=14.5,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,7
