role;package_path;source_path;source_selector;source_bytes;source_sha256;format;crs_units;layers_or_fields;status;essential_caveat;reason_for_inclusion;readiness
CANDIDATE_UNIVERSE;01_candidates/CANDIDATE_UNIVERSE_v02.gpkg;C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\04_geodatabases\V2_1_CANDIDATE_UNIVERSE_v02\CANDIDATE_UNIVERSE_v02.gpkg;candidate_universe_v02;;;GPKG;EPSG:6708 metres;candidate_id candidate_version universe_version municipality_code municipality_name generator_class source_tier currentness/proxy flags area_m2 geometry;PENDING_FINAL_ACCEPTANCE;The current v01 snapshot is REVIEW and cannot be used as definitive universe because material unresolved zoning cases can change candidate cardinality. Bind only the accepted v02 or later definitive universe.;Fundamental optimization domain and polygon geometry for every site-level criterion.;BLOCKING_PENDING
CANDIDATE_LINEAGE;01_candidates/CANDIDATE_LINEAGE_v02.csv;C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\04_geodatabases\V2_1_CANDIDATE_UNIVERSE_v02\CANDIDATE_LINEAGE_v02.csv;;;;CSV;NA;candidate_id and source/transformation lineage;PENDING_FINAL_ACCEPTANCE;Must correspond exactly to the candidate universe bound above.;Traceability of selected Hub polygons to source data and transformations.;BLOCKING_PENDING
CANDIDATE_QA;01_candidates/V2_1_CANDIDATE_UNIVERSE_QA_v02.json;C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\04_geodatabases\V2_1_CANDIDATE_UNIVERSE_v02\V2_1_CANDIDATE_UNIVERSE_QA_v02.json;;;;JSON;NA;machine QA counts hashes and required checks;PENDING_FINAL_ACCEPTANCE;Filename may follow the final v02 build convention but must be the machine QA for the exact candidate GPKG included.;Fail-closed verification that the definitive universe passed geometry area ID and determinism checks.;BLOCKING_PENDING
LIGHT_EDGE_FLOWS;02_traffic/light/DIRTY_EDGE_FLOWS_v01.csv;C:\Users\visen\OneDrive\Università\UniUD\Tesi\90_ARCHIVE\LEGACY_WORKSPACES\Dirty_FRLM\04_OUTPUT\path_flows_v01\DIRTY_EDGE_FLOWS_v01.csv;;35385784;1B4ED48CE383E4E64A463029FEAF92A9BA7B231776821BFDD04D4A5C2E7C878B;CSV;vehicles/day and metres;segment_uid dirty_flow_veh_day edge_uid way_id seq way_direction length_m highway;ACCEPTED_WITH_LIMITATION;Operational MODEL_v2 baseline derived from Dirty FRLM demonstrator and non-canonical relative to thesis scientific baseline.;Provides the LIGHT edge demand used by the approved interceptability formula.;READY
OSM_ROAD_GRAPH;02_traffic/light/G_OSM_operativo_v01.gpkg;C:\Users\visen\OneDrive\Università\UniUD\Tesi\TESI_THESIS_STORAGE\04_FROZEN_CHECKPOINTS\RECOVERED_BASELINE\OSM_5_6\grafo_operativo_osm\G_OSM_operativo_v01.gpkg;G_OSM_operativo_segments_v01;244686848;F1D87245D1BC28F3ECAB16E126514F8A3AB718B73CE7BD244DB2F12628697EF3;GPKG;EPSG:32632 metres;segment_uid way_id osm_u osm_v length_m highway ref oneway/access/direction fields;ACCEPTED_FROZEN;Road graph is operational baseline and may also support technical routing for AFIR exit distance with limitations documented in the prompt.;Supplies LIGHT edge geometry and the only packaged routable detailed road network.;READY
HEAVY_PATH_FLOWS;02_traffic/heavy/HEAVY_PATH_FLOWS_v01.csv;C:\Users\visen\OneDrive\Università\UniUD\Tesi\TESI_THESIS_STORAGE\04_FROZEN_CHECKPOINTS\HEAVY_6_0\HEAVY_0B_delivery_v01.zip;HEAVY_PATH_FLOWS_v01.csv;185162998;FB20E5C7EF2E7FA45600AD9F9D75709017E0D8173D6EF69FD3CA806EBD539E6F;CSV extracted from ZIP;vehicles/day and km;heavy_vehicles_day_2030 heavy_vehicles_day_2019 rerouted_edge_path Network edge IDs route metadata;ACCEPTED_FROZEN_SOURCE;Full 2030 edge-flow is not separately materialized in 5 HUB and must be reconstructed deterministically from path flows. Heavy scenario has known local calibration/granularity limitations.;Authoritative source needed to reconstruct the HEAVY 2030 edge flow without packaging unrelated ZIP members.;READY
HEAVY_EDGE_GEOMETRY|FVG_BOUNDARY;02_traffic/heavy/HEAVY_SPETH_PRESENTATION_v02.gpkg;C:\Users\visen\OneDrive\Università\UniUD\Tesi\TESI_THESIS_STORAGE\03_CANONICAL_DATA\QGIS_PRESENTATION\HEAVY_SPETH_v02\HEAVY_SPETH_PRESENTATION_v02.gpkg;speth_geometry_edges + fvg_boundary;667648;8AC1C9B89EF329F0F59FBADCC9A6728DE365FF72462B1E2C22A6C9728AC4A74C;GPKG;EPSG:32632 metres;speth_geometry_edges Network_Edge_ID and road attributes + fvg_boundary one regional polygon;CURRENT_DERIVED_WITH_LIMITATION;Geometry container is current derived/not independently frozen as a MODEL_v2 edge-flow artifact. Use Network_Edge_ID only for the documented Heavy join. The same physical file supplies the FVG boundary to avoid duplication.;Provides Heavy geometry and regional boundary in one compact file.;READY_WITH_CAVEAT
GRID_CP_PROXY;03_grid/osm_substations_cp_proxy_qc_v01.geojson;C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\02_external_sources\F3_CHAT_3_5\derived_qa\osm_substations_cp_proxy_qc_v01.geojson;;75612;9360ECC0675814B8A3D58B59690C5153862405206A99EBBA1F909B8B7E42C967;GeoJSON;EPSG:4326 degrees source transform to metric;92 points with osm_id name voltage max_voltage_v substation operator cp_proxy_class QA fields;ACCEPTED_PROXY_WITH_LIMITATIONS;Plausible CP/AT-MT positions validated against official service areas/DSO evidence but not an official CP inventory and not grid capacity.;Direct target set for GRID proximity criterion.;READY
LOGISTICS_POINTS;04_logistics/LOGISTICS_FVG_v02.gpkg;C:\Users\visen\Tesi_QGIS_Work\LOGISTICS_FVG\LOGISTICS_FVG_v02.gpkg;LOGISTICS_FVG_POINTS;131072;A8D7029CA3B3E1DC32A57B3C687655141DDF0E080B7853DBF57A0A7509A080F5;GPKG;EPSG:32632 metres;26 points SITE_ID NAME CATEGORY MUNICIPALITY provenance notes;ACCEPTED_WITH_LIMITATION;SITE_ID 25 ZIMA remains NEEDS_HUMAN_CHECK and represents the Manzano sub-area rather than automatically the whole multi-municipal consortium.;Direct target set for two-nearest logistics/industrial proximity criterion.;READY
PGRA_HAZARD;05_pgra/pgra_pericolosita_fvg_envelope_20260920.zip;C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\02_external_sources\F3_CHAT_3_11\pgra\pgra_pericolosita_fvg_envelope_20260920.zip;;30641445;F05C36817726A0B7F06C8E82E617DBFC2F817D7AF7ACD4A846BFCC274D9D54E2;ZIP Shapefile;EPSG:3035 metres;187230 polygons OBJECTID PDESCRIPT;ACCEPTED_CURRENT_SNAPSHOT;Use P1/P1_ST/P1_SM/P2/P3A/P3B for scoring. AA and F remain separate flags. Snapshot lineage/currentness caveats must be reported.;Authoritative current hazard geometry required for area-weighted PGRA score.;READY
