istat_code,comune,provincia,current_plan,current_variant,procedural_status,act_and_date,bur_publication,institutional_source_url,access_date,irdat_dataset_id,irdat_detail_url,irdat_admin_structure,irdat_metadata_date,irdat_publication_date,geometry_source,geometry_format,geometry_crs,geometry_layer_service_id,geometry_alignment_status,currentness_status,evidence_used,independent_current_source,eagle_access_status_baseline,cer_2018_reference,vector_download_status,vector_artifact_path,vector_bytes,vector_sha256,vector_archive_integrity,vector_shp_present,vector_prj_present,notes_gap,detail_error,supplement_source_url,supplement_fetch_status,supplement_sha256
030001,Aiello del Friuli,UD,PRGC Aiello del Friuli,Variant 20,,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12101,2026-09-19,12101,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12101,Comune di Aiello del Friuli,,,IRDAT/Comune,,,12101,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,"Piano Regolatore Generale del Comune di Aiello del Friuli, Variante 19, esecutiva dal 26.09.2013. Variante 20 (art. 11, comme 2 DPR 0865/Pres): individuazione area Centro Raccolta - esecutiva dal 31.10.2013. Variante 21 (non sostanziale): modifiche NTA (inseriemento art. 21 bis) - esecutiva dal 24.04.2014. Variante 22 (non sostanziale): cambio destinazione Zona E in ambiti di inediamenti specifici ES - inserimento sottozona ES1C e sottozona E6a - esecutiva dal 15.10.2015. Variante 25 (non sostanziale): eliminazione della numerazione per le zone di espansione territoriale (a medio indice di edificabilità territoriale) C1 - esecutiva dal 15.10.2020. Variante 26 (non sostanziale): zona ES2 speciale ""realizzazione gattile"" - esecutiva dal 22.04.2021. Variante 27 (non sostanziale): pista ciclabile ""delle cantine"" - tratto Novacco-Strassoldo - esecutiva dal 10.03.2022.",,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,D:20150820 H:20150820,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
030002,Amaro,UD,PRGC Amaro,,,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12109,2026-09-19,12109,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12109,Comune di Amaro,,,IRDAT/Comune,,,12109,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,piano regolatore del Comune di Amaro,,PUBLIC_CONFIG_DETECTED,D:20171026 H:20171026,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
030003,Ampezzo,UD,PRGC Ampezzo,,,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12110,2026-09-19,12110,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12110,Comune di Ampezzo,,,IRDAT/Comune,,,12110,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,piano regolatore del Comune di Ampezzo,,PUBLIC_CONFIG_DETECTED,D:20161110 H:,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
030004,Aquileia,UD,,,,,,https://comune.aquileia.ud.it/it/amministrazione-trasparente-16001/pianificazione-e-governo-del-territorio-20289/piano-regolatore-generale-comunale-prgc-121096,2026-09-19,,,,,,,,,,CURRENT_SOURCE_FOUND_GEOMETRY_TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,"Pagina comunale PRGC aggiornata 05/08/2025; pubblica elaborati e varianti, inclusa documentazione v18 aggiornata v22 e materiale v24.",,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,D:20170803 H:,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Fonte istituzionale corrente individuata; ricostruire latest effective variant e geometria/lineage prima di qualunque uso in Fase 4.,,https://comune.aquileia.ud.it/it/amministrazione-trasparente-16001/pianificazione-e-governo-del-territorio-20289/piano-regolatore-generale-comunale-prgc-121096,HTTP_OK_KEYWORD_NOT_FOUND,b6cd3030d737fa340fdcdf0d6034c8c4ada0e35bd3663bbbd9797d8641f9bad6
030005,Arta Terme,UD,PRGC Arta Terme,,APPROVED_PUBLISHED,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12272,2026-09-19,12272,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12272,Comune di Arta Terme,,,IRDAT/Comune,,,12272,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,"Estrazione comunale parziale derivata dalla Unione delle zone omogenee di tutti i piani regolatori della Carnia - L'assemblaggio viene aggiornato in modo dinamico seguendo le indicazioni degli Uffici Tecnici comunali. La Certificazione Urbanistica deve essere richiesta agli Uffici Tecnici Comunali. Il disallineamento dei confini dei comuni e dello zooning deriva dalle operazioni di raddrizzamento effettuate sugli strati originari per i Piani regolatori che sono stati in passato costruiti su basi catastali deformate. Le Zonizzazioni dei Piani Regolatori Generali Comunali sono pubblicate per la sola consultazione. L’identificazione geografica del mappale non ha significato di consultazione catastale ma ha il solo scopo di rappresentare la porzione di terreno nel contesto della pianificazione urbanistica del Comune. Il dato non ha carattere di ufficialità. La pubblicazione è concordata con gli Uffici Tecnici Comunali ed il grado di allineamento ai confini e di aggiornamento migliorerà progressivamente attraverso l’interazione tra Sistema Informativo Montano e Uffici Tecnici dei comuni. Per i comuni di Villa Santina, Enemonzo, Raveo e Lauco occorre tenere conto della Zonizzazione del Parco Intercomunale delle Colline Carniche (L.R. 42/1996). Per ogni qualsiasi altro dubbio sull'utilizzo del dato e sul grado di ufficialità si rimanda alla consultazione della scheda dei metadati, o si consiglia di fare riferimento al Punto di contatto.",,PUBLIC_CONFIG_DETECTED,D:20151029 H:20151029,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
030006,Artegna,UD,PRGC Artegna,Variant 19,APPROVED_PUBLISHED,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12112,2026-09-19,12112,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12112,Comune di Artegna,,,IRDAT/Comune,,,12112,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,"piano regolatore del Comune di Artegna - variante 19. ADOZIONE DELIBERA C.C. N. 46 DEL 19/12/2023, APPROVAZIONE DELIBERA C.C. N. 19 DEL 15/07/2024.",,PUBLIC_CONFIG_DETECTED,D:20170406 H:20170406,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
030007,Attimis,UD,PRGC Attimis,,,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12113,2026-09-19,12113,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12113,Comune di Attimis,,,IRDAT/Comune,,,12113,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,piano regolatore del Comune di Attimis,,PUBLIC_CONFIG_DETECTED,D:20140220 H:20140220,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
030008,Bagnaria Arsa,UD,PRGC Bagnaria Arsa,36,OFFICIAL_PRGC_PAGE_FOUND,,,https://www.comune.bagnariaarsa.ud.it/prgc/,2026-09-19,,,,,,Comune - elaborati PRGC,PDF/WEB,,,LINEAGE_NOT_FULLY_VERIFIED,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,Pagina comunale PRGC con elaborati indicati come Bagnaria PRGC v36.,https://www.comune.bagnariaarsa.ud.it/prgc/,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,D:20171130 H:20171130,NOT_ACQUIRED_LINEAGE_INCOMPLETE,,,,,,,Non dimostrata in modo chiuso l'assenza di varianti efficaci successive né acquisito un vettore ufficiale corrente allineato.,,https://www.comune.bagnariaarsa.ud.it/prgc/,NOT_MATERIALIZED,
030009,Basiliano,UD,PRGC Basiliano,Variant 41,APPROVED_PUBLISHED,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12124,2026-09-19,12124,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12124,Comune di Basiliano,,,IRDAT/Comune,,,12124,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,"Piano regolatore del Comune di Basiliano . Variante 41 AL PRGC, adottata con delibera DI C.C. N.44 DEL 14.11.2025 e approvata con delibera del C.C. N. 57 DEL 29.12.2025.",,PUBLIC_CONFIG_DETECTED,D:20170601 H:20170601,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
030010,Bertiolo,UD,PRGC Bertiolo,,,,,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12125,2026-09-19,12125,https://irdat.regione.fvg.it/consultatore-dati-ambientali-territoriali/detail/irdat/dataset/12125,Comune di Bertiolo,,,IRDAT/Comune,,,12125,IRDAT_RECORD_DETAIL_INCOMPLETE,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,piano regolatore del Comune di Bertiolo,,PUBLIC_CONFIG_DETECTED,D:20160616 H:20160616,NOT_ACQUIRED_CURRENTNESS_UNVERIFIED,,,,,,,Verificare assenza di varianti efficaci successive e allineamento puntuale del vettore.,,,,
