istat_code,comune,source_url,evidence_summary,proposed_status
030004,Aquileia,https://comune.aquileia.ud.it/it/amministrazione-trasparente-16001/pianificazione-e-governo-del-territorio-20289/piano-regolatore-generale-comunale-prgc-121096,"Pagina comunale PRGC aggiornata 05/08/2025; pubblica elaborati e varianti, inclusa documentazione v18 aggiornata v22 e materiale v24.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030008,Bagnaria Arsa,https://www.comune.bagnariaarsa.ud.it/novita/variante-al-piano-regolatore-avviso-alla-popolazione/,"Avviso comunale 27/10/2025 che richiama espressamente il PRGC vigente e annuncia una nuova variante.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030011,Bicinicco,https://www.comune.bicinicco.ud.it/media/files/030011/attachment/SNT_Rapporto_ambientale.pdf,"Documento comunale della variante 19 di conformazione al PPR che richiama il vigente PRGC; lineage della variante efficace da completare.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030013,Buja,https://www.comune.buja.ud.it/it/piano-regolatore-generale-comunale-v42-217032,"Pagina comunale della variante 42, adottata con DCC 46/21-09-2023 e pubblicata BUR 41/11-10-2023; efficacia finale da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030019,Cassacco,https://comune.cassacco.ud.it/it/amministrazione-trasparente-4659/pianificazione-e-governo-del-territorio-4729/piano-regolatore-comunale-generale-14423,"Pagina comunale Piano Regolatore Comunale Generale con elaborati della variante 46 e precedenti; verifica di eventuali varianti successive ancora necessaria.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030037,Fagagna,https://www.comune.fagagna.ud.it/it/categories/prgc-23401,"Pagina comunale PRGC con voce esplicita 'PRGC vigente' e rinvio alla Comunità Collinare; variante e geometria da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030044,Gonars,https://servizi-gonars.regione.fvg.it/it/amministrazione-trasparente-51662/pianificazione-e-governo-del-territorio-51732,"Pagina ufficiale di pianificazione: richiama PRGC vigente e variante 12 di conformazione al PPR in corso/adottata; vigente precedente da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030046,Latisana,https://www.comune.latisana.ud.it/it/amministrazione-trasparente-17647/altri-contenuti-17749/dati-ulteriori-17753/urbanistica-49952/varianti-al-piano-regolatore-generale-comunale-prgc-52175,"Pagina comunale varianti aggiornata 20/03/2026; elenca fino alla variante 70 approvata DCC 3/26-02-2026.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030049,Lignano Sabbiadoro,https://comune.lignano-sabbiadoro.ud.it/amministrazione/documenti-e-dati/amministrazione-trasparente/pianificazione-e-governo-del-territorio,"Pagina comunale 'Strumenti Pianificatori Vigenti' con PRGC e link al piano online; variante efficace da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030078,Povoletto,https://www.comune.povoletto.ud.it/amministrazione/unita_organizzativa/urbanistica-ed-edilizia-privata/,"Pagina comunale Urbanistica aggiornata 11/07/2025 con collegamento al Piano Regolatore Generale.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030097,Ronchis,https://www.comune.ronchis.ud.it/,"Home comunale corrente con contenuto 'Variante n. 43 al vigente PRGC'; atti ed efficacia da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030105,San Vito al Torre,https://www.comune.sanvitoaltorre.ud.it/media/files/md/030105/CC_15_DEL_22.04.2025.pdf,"Delibera comunale 15/22-04-2025 richiama espressamente lo strumento urbanistico vigente e avvia/modifica variante; lineage corrente da completare.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
030121,Tolmezzo,https://www.comune.tolmezzo.ud.it/p-r-g/,"Pagina comunale P.R.G. pubblica accesso al Piano Regolatore Comunale e NTA; variante efficace da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
031004,Dolegna del Collio,https://www.comune.dolegnadelcollio.go.it/media/files/031004/attachment/DC29.2025_-_ADOZIONE_DELLA_VARIANTE_N.13_AL_PIANO_REGOLATORE_GENERALE_COMUNALE.pdf,"DCC 29/16-12-2025 adotta variante 13 e dichiara approvate le varianti 1-12; efficacia della 13 da verificare.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
031009,Grado,https://www.comune.grado.go.it/it/amministrazione-62917/documenti-e-dati-62926/modulistica-62928/piano-regolatore-generale-comunale-prgc-vigente-zonizzazione-generale-72912,"Pagina comunale esplicitamente 'PRGC vigente - Zonizzazione generale'; elaborati PDF, pagina corrente nel 2026.",CURRENT_PLAN_VERIFIED_NO_VECTOR
031013,Moraro,https://www.comune.moraro.go.it/it/amministrazione-48991/documenti-e-dati-49010/documento-funzionamento-interno-49013/documentazione-piano-regolatore-generale-comunale-prgc-91552,"Pagina comunale PRGC aggiornata 10/12/2025 con elaborati e NTA; numero variante efficace da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
031019,San Floriano del Collio,https://comune.sanflorianodelcollio.go.it/media/files/md/031019/PRGC_-_Norme_tecniche_di_attuazione.PDF,"NTA PRGC pubblicate sul dominio comunale nel 2026; stato variante corrente e geometria da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
031023,Staranzano,https://www.comune.staranzano.go.it/media/files/md/031023/25.1_PRGC_VIGENTE_NORD.pdf,"Elaborato comunale 'PRGC VIGENTE NORD', aprile 2025; verifica di varianti successive e formato vettoriale necessaria.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
032001,Duino Aurisina,https://www.comune.duino-aurisina.ts.it/it/amministrazione-trasparente-5914/pianificazione-e-governo-del-territorio-5984/pianificazione-e-governo-del-territorio-322820,"Pagina comunale 'Piani vigenti' aggiornata 28/07/2026, con PRGC varianti 27 e 28; lineage puntuale da completare.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
032002,Monrupino,https://www.comune.monrupino.ts.it/it/amministrazione-trasparente-3975/pianificazione-e-governo-del-territorio-4045,"Pagina comunale Pianificazione e governo del territorio con PRGC variante generale 7; verifica aggiornamenti successivi necessaria.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
093007,Brugnera,https://www.comune.brugnera.pn.it/it/amministrazione-111716/aree-amministrative-111717/gestione-del-territorio-111625,"Pagina comunale Gestione del territorio aggiornata 17/11/2025 con collegamento alle tavole del piano regolatore.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
093035,Pravisdomini,https://www.comune.pravisdomini.pn.it/,"Home comunale corrente: avviso deposito variante 32 adottata DCC 20/29-07-2026; vigente precedente da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
093039,San Martino al Tagliamento,https://www.comune.sanmartinoaltagliamento.pn.it/media/files/md/093039/DCC_36_del_04-10-2024.pdf,"DCC 36/04-10-2024 approva variante 28 al PRGC; verifica di eventuali varianti successive necessaria.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
093053,Valvasone Arzene,https://servizionline.comune.valvasonearzene.pn.it/ae00813/zf/index.php/trasparenza/index/index/categoria/170,"Pagina ufficiale descrive disciplina transitoria dei piani ex Arzene/Valvasone e pubblica relativi elaborati; stato del nuovo PRGC da ricostruire.",CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE
