"istat_code","comune","provincia","current_plan","current_variant","procedural_status","act_and_date","bur_publication","institutional_source_url","access_date","irdat_dataset_id","irdat_detail_url","irdat_admin_structure","irdat_metadata_date","irdat_publication_date","geometry_source","geometry_format","geometry_crs","geometry_layer_service_id","geometry_alignment_status","currentness_status","evidence_used","independent_current_source","eagle_access_status_baseline","cer_2018_reference","vector_download_status","vector_artifact_path","vector_bytes","vector_sha256","vector_archive_integrity","vector_shp_present","vector_prj_present","notes_gap","detail_error","supplement_source_url","supplement_fetch_status","supplement_sha256"
"030008","Bagnaria Arsa","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20171130 H:20171130","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","https://www.comune.bagnariaarsa.ud.it/novita/variante-al-piano-regolatore-avviso-alla-popolazione/","FETCH_ERROR:URLError",""
"030024","Chiopris-Viscone","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","PUBLIC_CONFIG_DETECTED","D:20130815 H:20130815","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030025","Chiusaforte","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20131024 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030028","Colloredo di Monte Albano","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20161222 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030030","Corno di Rosazzo","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20151105 H:20151105","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030039","Flaibano","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160303 H:20160303","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030048","Lestizza","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","PUBLIC_CONFIG_DETECTED","D:20151112 H:20151112","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030051","Lusevera","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D: H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030053","Majano","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160526 H:20160526","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030056","Marano Lagunare","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20140109 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030059","Moggio Udinese","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20180118 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030063","Moruzzo","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170727 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030066","Osoppo","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170608 H:20170608","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
