rule_id,rule_type,rule_priority,source_id,legal_basis,effective_date,site_scope,site_code,project_or_activity_scope,activity_code,spatial_condition,functional_interference_condition,required_conditions,correspondence_check_required,source_outcome,intermediate_classification,model_action,limitations,evidence_reference,measure_refs,source_page
N2K_GLOBAL_001,GLOBAL_GUARDRAIL,10,DEC-0041+DGR30_2026_A1,DEC-0041; DGR 30/2026 Allegato A.1,2026-01-28,ALL,,All P/P/P/I/A,,Any Natura 2000 relation,,The model determines required depth only; never output a formal positive VINCA determination and never exclude solely for intersection/proximity,CONDITIONAL,PROCEDURAL_GUARDRAIL,,MANUAL_REVIEW_REQUIRED,No scoring or penalty; no ecological assumption without source evidence,DEC-0041; DGR30/2026 A.1,,
N2K_CORR_001,CORRESPONDENCE_PROCEDURE,300,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,Permesso di costruire,,N/A,N/A,Comune verifies and records correspondence in permit; information transmitted to Servizio biodiversita,YES,CORRESPONDENCE_AUTHORITY_DEFINED,,CORRESPONDENCE_CHECK_REQUIRED,Only after a green source outcome; authority/procedure must match actual case,A.1 p.4,,
N2K_CORR_002,CORRESPONDENCE_PROCEDURE,300,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,SCIA/CILA,,N/A,N/A,Professional attestation; municipality performs sample controls,YES,CORRESPONDENCE_AUTHORITY_DEFINED,,CORRESPONDENCE_CHECK_REQUIRED,Only after a green source outcome,A.1 p.4,,
N2K_CORR_003,CORRESPONDENCE_PROCEDURE,300,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,Edilizia libera,,N/A,N/A,Proponent verifies correspondence,YES,CORRESPONDENCE_AUTHORITY_DEFINED,,CORRESPONDENCE_CHECK_REQUIRED,Only after a green source outcome,A.1 p.4,,
N2K_CORR_004,CORRESPONDENCE_PROCEDURE,300,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,Conferenza di servizi,,N/A,N/A,Entity responsible for urban-planning conformity verifies correspondence,YES,CORRESPONDENCE_AUTHORITY_DEFINED,,CORRESPONDENCE_CHECK_REQUIRED,Only after a green source outcome,A.1 p.4,,
N2K_CORR_005,CORRESPONDENCE_PROCEDURE,300,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,Forestry declarations/schemes/PRFA,,N/A,N/A,Competent regional forestry service verifies correspondence,YES,CORRESPONDENCE_AUTHORITY_DEFINED,,CORRESPONDENCE_CHECK_REQUIRED,Only after a green source outcome,A.1 p.4,,
N2K_CORR_006,CORRESPONDENCE_PROCEDURE,300,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,Other public authorization,,N/A,N/A,Authorizing entity verifies correspondence,YES,CORRESPONDENCE_AUTHORITY_DEFINED,,CORRESPONDENCE_CHECK_REQUIRED,Only after a green source outcome,A.1 p.4,,
N2K_CORR_007,CORRESPONDENCE_PROCEDURE,300,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,No authorization/administrative procedure,,N/A,N/A,Proponent verifies correspondence,YES,CORRESPONDENCE_AUTHORITY_DEFINED,,CORRESPONDENCE_CHECK_REQUIRED,Only after a green source outcome,A.1 p.4,,
N2K_CORR_008,CORRESPONDENCE_INFERENCE,250,DGR30_2026_A1,DGR 30/2026 Allegato A.1,2026-01-28,ALL,,P/I/A of lower dimensional or typological magnitude than a preassessed item,,N/A,N/A,Use only if lower dimensional/typological correspondence is demonstrable from explicit project data; free-text similarity alone is insufficient,YES,LOWER_ORDER_CORRESPONDENCE_ALLOWED_BY_SOURCE,,MANUAL_REVIEW_REQUIRED,No automatic semantic inference in the 5 HUB model unless explicit comparable attributes exist,A.1 p.3,,
N2K_IF_001,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZSC_OR_ZPS_EXCEPT_IT3320037,,"Major project subject to VIA screening/VIA, generic",,radius <= 1000 m from ZSC or ZPS,Trigger determines external functional-interference scope,Major/minor classification proven under D.Lgs. 152/2006,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.3 / summary p.6,,
