site_code,site_name,biogeographic_region,current_designation,sic_layer_presence,zps_layer_presence,sic_tipo_sito_raw,zps_tipo_sito_raw,dgr30_preassessment_annex,dgr30_site_header,preassessment_activity_count,preassessed_green_count,screening_required_red_count,not_applicable_yellow_count,unknown_count,current_conservation_basis,current_measure_check_required,functional_interference_basis,site_specific_override,crosswalk_method,geometry_source,geometry_sha256_sic,geometry_sha256_zps,limitations
IT3230006,Val Visdende - Monte Peralba - Quaternà,Alpina,ZSC,YES,NO,B - ZSC inclusa in una ZPS,,A2,Val Visdende - Monte Peralba - Quaterna',50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3230085,Comelico - Bosco della Digola - Brentoni - Tudaio,Alpina,ZSC,YES,NO,B - ZSC incluso in una ZPS,,A2,Comelico - Bosco della Digola - Brentoni - Tudaio,50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3230089,Dolomiti del  Cadore e del Comelico,Alpina,ZPS,NO,YES,,A - ZPS che contiene ZSC,A2,Dolomiti del Cadore e del Comelico,50,42,0,8,0,DGR 594/2025 per componente ZPS,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310001,Dolomiti Friulane,Alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Dolomiti Friulane,50,42,0,8,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310002,Val Colvera  di Jof,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Val Colvera di Jof,50,41,0,9,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310003,Monte Ciaurlec e Forra del Torrente Cosa,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Monte Ciaurlec e Forra del Torrente Cosa,50,41,0,9,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310004,Forra del Torrente Cellina,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Forra del Torrente Cellina,50,39,1,10,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310005,Torbiera di Sequals,continentale,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A3,Torbiera di Sequals,50,21,0,29,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310006,Foresta del Cansiglio,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Foresta del Cansiglio,50,42,0,8,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310007,Greto del Tagliamento,continentale,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A3,Greto del Tagliamento,50,44,0,6,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
