source_id,source_name,owner,source_url,access_date,format,crs_or_spatial_ref,source_class,intended_use,gate_status,materialized_path,sha256,limitations
F3_PGRA_001,PGRA current legal/version lineage,Autorità di Bacino Distrettuale Alpi Orientali,https://sigma.distrettoalpiorientali.it/portal/index.php/2026/01/22/pgra_aggiornamento/,2026-09-20,HTML,n/a,NORMATIVE_LINEAGE,prove currentness of revised maps adopted in safeguard,CURRENT_VERIFIED,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\pgra,see source_manifest_v01.json,Legal/currentness evidence is separate from WFS feature version binding
F3_PGRA_002,PGRA live flood-hazard geometry — sigma:Pericolo_direttiva_alluvioni,Autorità di Bacino Distrettuale Alpi Orientali / SIGMA,https://sigma.distrettoalpiorientali.it/sigma/geo/sigma/wfs,2026-09-20,WFS + ShapeZIP,EPSG:3035,CURRENT_OFFICIAL_LIVE_GEOMETRY_WITH_VERSION_CAVEAT,macro flood-hazard screening,READY_WITH_LIMITATIONS,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\pgra\pgra_pericolosita_fvg_envelope_20260920.zip,F05C36817726A0B7F06C8E82E617DBFC2F817D7AF7ACD4A846BFCC274D9D54E2,"187230 features in technical FVG envelope; no machine-readable binding to Delibera 12/2025 / PGRA2027 found"
F3_PGRA_003,PGRA live flood-risk geometry — sigma:Rischio,Autorità di Bacino Distrettuale Alpi Orientali / SIGMA,https://sigma.distrettoalpiorientali.it/sigma/geo/sigma/wfs,2026-09-20,WFS + ShapeZIP,EPSG:3035,CURRENT_OFFICIAL_LIVE_GEOMETRY_WITH_VERSION_CAVEAT,context/risk screening distinct from hazard,READY_WITH_LIMITATIONS,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\pgra\pgra_rischio_fvg_envelope_20260920.zip,00F103637A541522DADA659EF84B4A560DCAA2F47FA465293DA6FCD4BB370B05,"132840 features in technical FVG envelope; risk does not imply automatic exclusion; same version-binding caveat"
F3_PAI_001,PAI current multi-basin corpus,Autorità di Bacino Distrettuale Alpi Orientali,https://distrettoalpiorientali.it/piano-assetto-idrogeologico/,2026-09-20,HTML / official document index,n/a,NORMATIVE_CORPUS,identify current PAI instruments applying to FVG,SOURCE_VERIFIED,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\pai\pai_main.html,see source_manifest_v01.json,PAI is multi-instrument by basin; hydraulic component is under PGRA
F3_PAI_002,PAI official current geological hazard/risk map index pages,Autorità di Bacino Distrettuale Alpi Orientali,https://distrettoalpiorientali.it/piano-assetto-idrogeologico/,2026-09-20,HTML + indexed PDF links,official map sheets,NORMATIVE_CARTOGRAPHY,authoritative cartographic reference and lineage,READY_WITH_LIMITATIONS,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\pai\pai_official_map_links_v01.csv,see source_manifest_v01.json,627 PDF links are basin-corpus links not an FVG-only feature count; no unified public vector package verified
F3_PAI_003,PAI 4 Bacini Norme di Attuazione,Autorità di Bacino Distrettuale Alpi Orientali,https://distrettoalpiorientali.it/pai-4-bacini/,2026-09-20,PDF,n/a,NORMATIVE_DISCIPLINE,interpret geological hazard classes and procedures,SOURCE_VERIFIED,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\official_discipline\PAI4_NORME_ATTUAZIONE.pdf,CB8F485D77F05B4AAB456F12C00990857545E8AFA1367A0BA19386038F428034,Must be read together with applicable updates/decrees
F3_PAI_004,PAI Fella Norme di Attuazione,Autorità di Bacino Distrettuale Alpi Orientali,https://distrettoalpiorientali.it/piano-assetto-idrogeologico/sottobacino-del-fiume-fella/,2026-09-20,PDF,n/a,NORMATIVE_DISCIPLINE,interpret Fella PAI,SOURCE_VERIFIED,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\official_discipline\PAI_FELLA_NORME_ATTUAZIONE.pdf,2F72CE6730004D05535CDA1736CCE37C6DB12BE4B5EA23413ED70E524F435FEE,Must be read together with applicable updates/decrees
F3_PAI_005,PAI Livenza Prima Variante relazione/norme,Autorità di Bacino Distrettuale Alpi Orientali,https://distrettoalpiorientali.it/piano-assetto-idrogeologico/bacino-del-fiume-livenza-uom-itn006/,2026-09-20,PDF,n/a,NORMATIVE_DISCIPLINE,interpret Livenza PAI,SOURCE_VERIFIED,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\official_discipline\PAI_LIVENZA_PRIMA_VARIANTE_RELAZIONE_NORME.pdf,612E670E535581F8FA27A48B0C499907EE8E3F587334C255300856CA93416D4B,Must be read together with applicable updates/decrees
F3_PAI_006,PAIR / bacini regionali FVG relazione e norme,Autorità di Bacino Distrettuale Alpi Orientali,https://distrettoalpiorientali.it/piano-assetto-idrogeologico/bacino-dei-fiumi-della-regione-del-friuli-venezia-giulia-uom-itr061/,2026-09-20,PDF,n/a,NORMATIVE_DISCIPLINE,interpret regional FVG basin PAI/PAIR,SOURCE_VERIFIED,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\official_discipline\PAIR_FVG_RELAZIONE_NORME.pdf,E1518C82D9C1DB26D2E79F91C1FB57F5516C79B414BACE082ECDDD8F8140095A,Must be read together with applicable updates/decrees
F3_PAI_007,Regione FVG PAI/PAIR guidance and FAQ,Regione Autonoma Friuli Venezia Giulia,https://www.regione.fvg.it/rafvg/cms/RAFVG/ambiente-territorio/geologia/FOGLIA25/,2026-09-20,HTML,n/a,OFFICIAL_GUIDANCE,confirm official vector acquisition channel and attention-zone semantics,SOURCE_VERIFIED,5_HUB_FVG\02_external_sources\F3_CHAT_3_11\pai,see source_manifest_v01.json,Official vector files are obtainable by request to District; this does not itself provide the complete vector package
