istat_code,comune,sigla_provincia,eagle_probe_status,eagle_config,eagle_project,eagle_plan_codes,eagle_ambiti,source_candidate,source_format_access,access_status,cer_D_count,cer_D_latest_data_val,cer_D_variants,cer_H_count,cer_H_latest_data_val,cer_H_variants,current_prgc_date_or_variant,current_prgc_source,current_prgc_validation_status,sample_comparison_result,quality_note
030001,Aiello del Friuli,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,14,20150820,22,11,20150820,22,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030002,Amaro,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGAmaro,Guest_PRGAmaro,A254,AMB_007,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,8,20171026,46,2,20171026,46,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030003,Ampezzo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGAmpezzo,Guest_PRGAmpezzo,A267,AMB_008,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,8,20161110,11,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030004,Aquileia,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,15,20170803,22,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030005,Arta Terme,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGArtaTerme,Guest_PRGArtaTerme,C918,AMB_071,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,3,20151029,22,1,20151029,22,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030006,Artegna,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGArtegna,Guest_PRGArtegna,A448,AMB_013,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,20,20170406,15,5,20170406,15,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030007,Attimis,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGAttimis,Guest_PRGAttimis,A491,AMB_015,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,6,20140220,15,10,20140220,15,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030008,Bagnaria Arsa,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,14,20171130,30,11,20171130,30,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030009,Basiliano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGBasiliano,Guest_PRGBasiliano,A700,AMB_020,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,23,20170601,34,13,20170601,34,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030010,Bertiolo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGBertiolo,Guest_PRGBertiolo,A810,AMB_021,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,25,20160616,30,8,20160616,30,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
