istat_code,comune,provincia,old_status,new_status,observed_variant,procedural_status,act_and_date,bur_publication,source_title,source_type,source_url,evidence_used,geometry_source,geometry_format,notes_gap,materialization_status,materialized_sha256
030008,Bagnaria Arsa,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,36,OFFICIAL_PRGC_PAGE_FOUND,,,PRGC - Comune di Bagnaria Arsa,COMUNE_OFFICIAL_PRGC_PAGE,https://www.comune.bagnariaarsa.ud.it/prgc/,Pagina comunale PRGC con elaborati indicati come Bagnaria PRGC v36.,Comune - elaborati PRGC,PDF/WEB,Non dimostrata in modo chiuso l'assenza di varianti efficaci successive né acquisito un vettore ufficiale corrente allineato.,NOT_MATERIALIZED,
030024,Chiopris-Viscone,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,28,ONLINE_PLAN_INDICATIVE_NON_OFFICIAL,,,Piano Regolatore Generale Comunale online,COMUNE_OFFICIAL_PRGC_PAGE,https://comune.chiopris-viscone.ud.it/it/il-comune-informa-52358/piano-regolatore-generale-comunale-online-52555,Pagina comunale con zonizzazione e relazione Variante 28; il Comune avverte che i contenuti online sono indicativi e non ufficiali.,Comune / PRGC online,PDF/WEB,La stessa pagina esclude valore certificativo; ultima variante efficace e allineamento vettoriale non chiusi.,MATERIALIZED,B6CD3030D737FA340FDCDF0D6034C8C4ADA0E35BD3663BBBD9797D8641F9BAD6
030025,Chiusaforte,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,37,OFFICIAL_PLAN_DOCUMENT_FOUND,,,Norme PRGC Chiusaforte - variante 37,COMUNE_OFFICIAL_DOCUMENT,https://comune.chiusaforte.ud.it/media/files/md/030025/norme_Chiusaforte_a_var_37_novembre_2018_mxGcIP3.pdf,Documento comunale ufficiale delle norme coordinate alla Variante 37.,Comune - PDF PRGC,PDF,Documento di piano reperito ma non prova che la Variante 37 sia l'ultima efficace al 2026; nessun vettore corrente verificato.,MATERIALIZED,3DEC73B949A1CA65D2EC47663B4AC4EAC259881327958AB8C6C52191798B4EB8
030028,Colloredo di Monte Albano,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,21,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,PRGC - variante 21 - relazione,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.colloredodimontealbano.ud.it/media/files/030028/attachment/CMA_var_21_relazione_HeDMHYJ.pdf,Relazione comunale Variante 21; SIT collinare pubblica PRGC aggiornato alla Var.21.,Comune - elaborati Variante 21 / SIT collinare,PDF/WEBGIS,SIT ha finalità informative; manca chiusura formale sull'assenza di varianti efficaci successive e vettore ufficiale corrente.,MATERIALIZED,DA418751C6A109999723F62DCF679E1C49306088812DF6D708D4ACFDD5076D60
030030,Corno di Rosazzo,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,28,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,PRGC Corno di Rosazzo - variante 28,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.corno-di-rosazzo.ud.it/media/files/030030/attachment/Corno_di_Rosazzo_-_v.28_-_agg._e_ass._-_VAS_signed_WnZv7jr.pdf,Documento ufficiale comunale riferito alla Variante 28.,Comune - PDF Variante 28,PDF,Non verificata la completa sequenza di efficacia fino al 2026 né un vettore corrente allineato.,MATERIALIZED,A2C0706BD25A3D24CB7C23EF3A1C6A43ECF3C46A440D9872C08A0A361DACCEA8
030039,Flaibano,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,23,OFFICIAL_VARIANTS_INDEX_FOUND,,,Pianificazione e governo del territorio - Flaibano,COMUNE_OFFICIAL_TRANSPARENCY,https://servizionline.comune.flaibano.ud.it/zf/index.php/trasparenza/index/index,"Indice comunale di pianificazione espone varianti 20, 22 e 23; archivio storico identifica anche una 'Variante vigente'.",Comune - documenti pianificazione,PDF/WEB,Stato procedurale ed efficacia della variante più recente non ricostruiti integralmente; nessun vettore corrente verificato.,MATERIALIZED,B2F31ACFBBC63D32952A3A91C85E56F2665B83DBBAD925EABFE0DA9D0DA402FD
030048,Lestizza,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,22,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,Modifiche Variante 22 - Lestizza,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.lestizza.ud.it/media/files/md/030048/Modifiche_Variante_22.pdf,Documento comunale ufficiale relativo alla Variante 22.,Comune - PDF Variante 22,PDF,La fonte non chiude la verifica dell'ultima variante efficace al 2026 né fornisce vettore corrente verificato.,MATERIALIZED,916BCB0FC721CFDCD63730351B1CA0FE1AC3BCAC2FB00B3A27D39B2E1476DAA9
030051,Lusevera,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,,OFFICIAL_PRGC_REFERENCE_FOUND,,,Richiesta certificato di destinazione urbanistica,COMUNE_OFFICIAL_URBAN_PLANNING_SERVICE,https://www.comune.lusevera.ud.it/documento_pubblico/richiesta-certificato-di-destinazione-urbanistica/,Pagina comunale CDU conferma che le destinazioni sono certificate secondo il PRGC comunale.,Comune - riferimento PRGC,WEB/PDF,Fonte istituzionale utile ma non identifica versione/ultima variante efficace; nessuna geometria corrente verificata.,NOT_MATERIALIZED,
030053,Majano,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,35,ADOPTED_NOT_PROVEN_EFFECTIVE,DCC 29 del 30/09/2025 - adozione,BUR 42 del 15/10/2025 - avviso di adozione,Adozione variante n.35 al PRGC,COMUNE_OFFICIAL_NOTICE,https://www.comune.majano.ud.it/it/novita-190841/notizie-190842/avviso-di-deposito-del-progetto-di-conformazione-al-ppr-adozione-variante-n-35-al-prgc-312543,Avviso ufficiale documenta adozione e deposito della Variante 35.,Comune - elaborati Variante 35,PDF,Adozione non equivale a vigenza; non reperita prova sufficiente di approvazione/efficacia finale né vettore corrente allineato.,MATERIALIZED,3648A06688E46C98B3991FE698262B1D6115B0E1DDAB553A10545EF87D9439E7
030056,Marano Lagunare,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,8,OFFICIAL_ACT_REFERENCES_VIGENT_PRGC,Atto comunale 2023,,Atto comunale con riferimento a PRGC vigente,COMUNE_OFFICIAL_ACT,https://www.comune.maranolagunare.ud.it/media/files/030056/attachment/GDG_2023_40_Approvazione_progetto_esecutivo_eHday6l.pdf,Atto comunale richiama la conformità agli strumenti urbanistici vigenti e il PRGC Var.8.,Comune - documenti PRGC,PDF,Riferimento utile ma non abbastanza recente/esaustivo per escludere varianti efficaci successive al 2023; nessun vettore corrente verificato.,MATERIALIZED,939804DB39FF2583D2DF6A464BF51A4B47963224667B647B99C8DD47367FF9A3
