SOURCE_ID,TITLE,PUBLISHER,SOURCE_CLASS,PRIORITY_TIER,PUBLICATION_OR_EVIDENCE_DATE,VERIFIED_ON,URL,CLAIMS_SUPPORTED,NOTES
S001,Strategia regionale per l'idrogeno (DGR 1876/2025),Regione Autonoma Friuli Venezia Giulia,OFFICIAL_STRATEGY,1,2025-12-19,2026-09-22,https://www.nahv.eu/wp-content/uploads/2026/02/27221_Strategia-Regionale-Idrogeno.pdf,Trieste Hub 5 MW; 4.85 MWp PV; up to 370 t/year; 2 t storage; PNRR Porpetto/Monfalcone; regional H2 research infrastructure context,Official regional strategy hosted on NAHV site.
S002,BUR 17/2025 – Decreto 18459/GRFVG Hydrogen Hub Trieste,Regione Autonoma Friuli Venezia Giulia,OFFICIAL_AUTHORIZATION,1,2025-04-10,2026-09-22,https://bur.regione.fvg.it/arpebur/downloadPDF?doc=0&name=2025%2F04%2F23%2FBUR+17_noLEGAL.pdf,"Authorization for 4.85 MWe PV and 5 MW H2 production plant in Via Carlo Errera, Trieste",Primary legal/authorization source.
S003,Next Innovation Road 2026 Event in Trieste – Hydrogen Hub status,NAHV,PROJECT_OFFICIAL,3,2026-06-16,2026-09-22,https://www.nahv.eu/next-innovation-road-2026-event-in-trieste/,Trieste Hydrogen Hub in advanced stage of construction,Current status source.
S004,"Mobilità sostenibile, incontro con Apt Gorizia sullo sviluppo delle stazioni multienergia",FVG Energia,REGIONAL_PUBLIC_COMPANY,1,2026-07-22,2026-09-22,https://prod-energia.regione.fvg.it/notizie/article/Mobilita-sostenibile-incontro-con-Apt-Goriziabr--sullo-sviluppo-delle-stazioni-multienergia/,Monfalcone H2 production/storage/refueling infrastructure still being realized,Current-first status source.
S005,Gli impianti APT EcoMove,APT Gorizia,OPERATOR_OFFICIAL,5,CURRENT_PAGE,2026-09-22,https://www.aptgorizia.it/gli-impianti-apt-ecomove/,Monfalcone location Via Consiglio d'Europa; 1 MW electrolyzer; HRS; 3 dispensers; funding and layout,Operator technical description.
S006,OpenCUP G42C22000860004 – Porpetto H2 refueling station,Presidenza del Consiglio dei Ministri / Sistema CUP,NATIONAL_PUBLIC_REGISTER,2,2024-03-13 data generation; ACTIVE at verification,2026-09-22,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G42C22000860004,Active CUP; Porpetto Variante SP80; PNRR M2C2 I3.3; H2 refueling station; project cost/funding,Primary public investment registry.
S007,Nuova apertura Q8 a Porpetto (UD),Q8 Italia / Kuwait Petroleum Italia,OPERATOR_OFFICIAL,5,CURRENT_PAGE,2026-09-22,https://www.q8.it/q8-per-il-futuro/comunicazione/nuova-apertura-stazione-servizio-q8-porpetto-udine,Current Porpetto station services; H2 not listed,"Used as negative/current cross-check, not proof of cancellation."
S008,Decreto 70970/GRFVG – concessione SOLHX,Regione Autonoma Friuli Venezia Giulia,OFFICIAL_GRANT,1,2025-12-18,2026-09-22,https://www.regione.fvg.it/rafvg/export/sites/default/RAFVG/economia-imprese/industria/FOGLIA44/allegati/20251227_Decreto_70970_2025_concessione_CNV.pdf,SOLHX grant €8.415m; production plus H2 refueling component; CUP D92C25000190003; start/finish deadlines,Primary funding commitment. Exact site parcel not stated in decree.
S009,Decreto 70969/GRFVG – concessione ABS Produzione di idrogeno rinnovabile,Regione Autonoma Friuli Venezia Giulia,OFFICIAL_GRANT,1,2025-12-18,2026-09-22,https://www.regione.fvg.it/rafvg/export/sites/default/RAFVG/economia-imprese/industria/FOGLIA44/allegati/20251227_Decreto_70969_2025_concessione_ABS.pdf,ABS grant €6.585m; CUP D62C25000260003; corrected 82.55 t/year renewable H2 for grant evaluation; deadlines,Primary funding commitment.
S010,NAHV Testbed II – ABS hydrogen utilisation,NAHV,PROJECT_OFFICIAL,3,CURRENT_PAGE,2026-09-22,https://www.nahv.eu/ii-hydrogen-utilisation-in-special-steel-production-and-treatment-abs-pozzuolo-del-friuli-fvg-italy/,ABS site address Via Buttrio 28 and industrial H2 burner testbed,Same physical industrial site as ABS funded production project.
S011,NAHV project fact sheet – Ferriere Nord participant,European Commission CORDIS,EU_OFFICIAL,3,CURRENT_PAGE,2026-09-22,https://cordis.europa.eu/project/id/101111927,Ferriere Nord address Osoppo and EU contribution,Location/funding cross-check.
S012,NAHV Testbed IV – Ferriere Nord FENO,NAHV,PROJECT_OFFICIAL,3,CURRENT_PAGE,2026-09-22,https://www.nahv.eu/iv-blending-mix-usage-in-rolling-mill-pre-heating-furnace-for-hard-to-abate-industrial-application-feno-fvg-italy/,H2 blending industrial testbed; target up to 50% H2,"Physical industrial testbed, not public HRS."
S013,NAHV Testbed XIII – Faber hydrogen storage system,NAHV,PROJECT_OFFICIAL,3,CURRENT_PAGE,2026-09-22,https://www.nahv.eu/xiii-development-of-hydrogen-storage-system-for-distribution-faber-cividale-del-friuli-ud-italy/,Faber address; >300 L vessel; >=500 bar; industrial validation/implementation,"Component manufacturing testbed, not stationary storage depot."
S014,H2SmartCampus,Area Science Park,PUBLIC_RESEARCH_OFFICIAL,4,2026-02-27,2026-09-22,https://www.areasciencepark.it/project/h2-smart-campus/,Project duration 2026-2029; physical infrastructure at Basovizza; I-CampusH2 and H2SmartLab,Regional-funded research infrastructure.
S015,Getting here – Basovizza Campus,Area Science Park,PUBLIC_RESEARCH_OFFICIAL,4,CURRENT_PAGE,2026-09-22,https://www.areasciencepark.it/en/companies-and-research-centres/getting-here/,Basovizza address SS14 km 163.5; campus location,Georeferencing source.
S016,Trasporti: investimenti futuri a Pontebba,Regione Autonoma Friuli Venezia Giulia,OFFICIAL_COMMUNICATION,1,2024-03-14,2026-09-22,https://www.regione.fvg.it/rafvg/comunicati/comunicato.act%3Bjsessionid%3D176E7E750E374C993A0D617FB42E0F82?dir=%2Frafvg%2Fcms%2FRAFVG%2Fnotiziedallagiunta%2F&nm=20240314161830006,AutoPlose intention to add hydrogen distribution at Pontebba,Shows H2 remained future intention in 2024.
S017,Distributore – Autoporto Pontebba,Autoporto Pontebba / operator,OPERATOR_OFFICIAL,5,CURRENT_PAGE,2026-09-22,https://autoportopontebba.com/distributore/,Current fuels/services; no H2 listed,Current-first negative cross-check.
S018,NAHV Testbed XII – CTS modular HRS,NAHV,PROJECT_OFFICIAL,3,CURRENT_PAGE,2026-09-22,https://www.nahv.eu/xii-integrated-hydroelectric-and-hfc-power-station-for-retail-distribution-of-hydrogen-cts-brugnera-italy/,Modular HRS concept and current project constraints/site uncertainty,Site not spatially fixed.
S019,NAHV Testbed Projects index,NAHV,PROJECT_OFFICIAL,3,CURRENT_PAGE,2026-09-22,https://www.nahv.eu/testbed-projects/,"Completeness cross-check for FVG testbeds II, III, IV, VIII, IX, XII, XIII, XV",Used for dedup/screening.
