metric,value
candidate_count,3993
excluded_min_area_count,5125
generator_unresolved_count,4016
exact_duplicates_canonicalized,0
overlap_pairs_positive_area,461
municipalities_no_usable_polygon_source,5
generator_G1_PRODUCTIVE,2550
generator_G2_COMMERCIAL_TERTIARY,928
generator_G3_LOGISTICS_TRANSPORT,152
generator_G4_MIXED_RELEVANT,319
generator_G5_TECHNICAL_UTILITY_ENERGY,44
candidate_source_tier_S1,167
candidate_source_tier_S2,2709
candidate_source_tier_S3,55
candidate_source_tier_S4,1062
candidate_source_tier_S5,0
municipality_source_tier_S1,4
municipality_source_tier_S2,99
municipality_source_tier_S3,4
municipality_source_tier_S4,103
municipality_source_tier_S5,5
logical_sha256_universe,648A76F925FE65567CB88CE688A1C41F158DC1C8B90E1E95BCABEA7611D38F39
logical_sha256_lineage,C60DB10499111A4A8FD0E1F2B1A85AEF0EA28820F471799795EEE1EC7689E134
logical_sha256_exclusions,409BB7915634D2BF855C22ED436AD8F1C8CC05395D7BA98CBF4CF91F1F085B7D
logical_sha256_mapping,01002F2009C96FE26C515C901E80AABCF2D3ADE2CA4BD0C6C3495E3268C89C58
logical_sha256_source_gaps,0EFB6D1F9606261A752AEABB8C0BF0A66B9A38E585AC1A3C822BCE964CFB3799
