"citation_key","category","title","issuer_author","act_or_identifier","version_date","url_or_persistent_id","access_date","territorial_temporal_coverage","use_in_report","license_reuse","verification_status","preserved_evidence_path","notes"
"EXT-REG-EU-2023-01","REG","Regolamento (UE) 2023/1804 — AFIR","Unione europea","2023/1804","","","","UE / versione applicabile","Requisiti AFIR richiamati nella localizzazione","","TO_VERIFY_EDITORIALLY","","Compilare con versione consolidata effettivamente citata"
"EXT-REG-EU-2024-01","REG","Regolamento (UE) 2024/1679 — TEN-T","Unione europea","2024/1679","","","","UE / rete TEN-T vigente","Classificazione rete e nodi TEN-T","","TO_VERIFY_EDITORIALLY","",""
"EXT-REG-FVG-2012-01","REG","LR FVG 11 ottobre 2012, n. 19","Regione Autonoma Friuli Venezia Giulia","LR 19/2012","","","","FVG","Requisiti regionali pertinenti agli impianti stradali","","TO_VERIFY_EDITORIALLY","",""
"EXT-DATA-EU-TENTEC-01","DATA","TENtec / TENT Regulation 2024 GIS","Commissione europea / DG MOVE","","","","","FVG / rete corrente","Geometrie e classificazione TEN-T","","SOURCE_VERIFIED","","Collegare al DATA_REGISTRY"
"EXT-DATA-FVG-IRDAT-01","DATA","IRDAT / GeoServer regionale","Regione Autonoma Friuli Venezia Giulia","","","","","FVG","Urbanistica, PPR, aree protette e altri tematismi effettivamente usati","","SOURCE_VERIFIED_BY_DATASET","","Registrare i singoli dataset, non solo il portale"
"EXT-PLAN-DAO-PGRA-01","PLAN","PGRA vigente / SIGMA","Autorità di Bacino Distrettuale delle Alpi Orientali","","","","","Distretto / versione vigente","Rischio idraulico e geometrie operative","","SOURCE_VERIFIED","",""
"EXT-PLAN-DAO-PAI-01","PLAN","PAI vigente e Norme di Attuazione","Autorità di Bacino Distrettuale delle Alpi Orientali","","","","","FVG / corpus pertinente","Pericolosità geologica e verifiche puntuali","","SOURCE_VERIFIED","",""
"EXT-PLAN-FVG-PPR-01","PLAN","Piano Paesaggistico Regionale FVG","Regione Autonoma Friuli Venezia Giulia","","","","","FVG / versione vigente","Compatibilità paesaggistica","","SOURCE_VERIFIED","",""
"EXT-DATA-OSM-01","DATA","OpenStreetMap / Overpass","OpenStreetMap contributors","","","","","FVG / snapshot usato","Proxy rete elettrica e baseline stradali dove applicabile","ODbL","SOURCE_VERIFIED","","Attribuzione obbligatoria"
"EXT-STAT-ISTAT-01","STAT","Fonti ISTAT effettivamente utilizzate","ISTAT","","","","","Italia/FVG / annualità da specificare","Popolazione, pendolarismo e supporti statistici","","SOURCE_VERIFIED_BY_DATASET","","Creare record separati per dataset distinti"
"EXT-TECH-ENERGY-01","TECH","Fonti GSE/DSO/Terna effettivamente utilizzate","GSE / DSO / Terna","","","","","FVG / data corrente","Controllo infrastrutture elettriche e limiti del proxy","","TO_COMPLETE","","Separare le fonti per operatore"
"EXT-LIT-METHOD-01","LIT","Letteratura metodologica di localizzazione/MCDM/ottimizzazione","da definire","","","","","","Giustificazione delle sole tecniche effettivamente adottate","","NOT_READY","","Non selezionare la letteratura prima della scelta metodologica"
