"citation_key","category","title","issuer_author","act_or_identifier","version_date","url_or_persistent_id","access_date","territorial_temporal_coverage","use_in_report","license_reuse","verification_status","preserved_evidence_path","notes"
"EXT-REG-EU-2023-01","REG","Regolamento (UE) 2023/1804 del Parlamento europeo e del Consiglio del 13 settembre 2023 sulla realizzazione di un'infrastruttura per i combustibili alternativi (AFIR)","Parlamento europeo e Consiglio dell'Unione europea","Regolamento (UE) 2023/1804; CELEX 32023R1804; ELI data.europa.eu/eli/reg/2023/1804/oj","Atto 2023-09-13; versione consolidata corrente indicata da EUR-Lex: 2026-01-08","https://eur-lex.europa.eu/eli/reg/2023/1804/oj/ita","2026-09-21","UE / versione applicabile","Requisiti AFIR richiamati nella localizzazione","","SOURCE_METADATA_VERIFIED_2026-09-21","","Fonte ufficiale EUR-Lex. Verificare in 90.1 gli articoli effettivamente citati e usare la versione consolidata applicabile al claim."
"EXT-REG-EU-2024-01","REG","Regolamento (UE) 2024/1679 del Parlamento europeo e del Consiglio del 13 giugno 2024 sugli orientamenti dell'Unione per lo sviluppo della rete transeuropea dei trasporti","Parlamento europeo e Consiglio dell'Unione europea","Regolamento (UE) 2024/1679; CELEX 32024R1679; ELI data.europa.eu/eli/reg/2024/1679/oj","Atto 2024-06-13; versione corrente indicata da EUR-Lex: 2024-06-28","https://eur-lex.europa.eu/eli/reg/2024/1679/oj/ita","2026-09-21","UE / rete TEN-T vigente","Classificazione rete e nodi TEN-T","","SOURCE_METADATA_VERIFIED_2026-09-21","","Fonte ufficiale EUR-Lex. Il registro finale deve distinguere il regolamento dalle geometrie e dai dati TENtec."
"EXT-REG-FVG-2012-01","REG","Legge regionale Friuli Venezia Giulia 11 ottobre 2012, n. 19 — Norme in materia di energia e distribuzione dei carburanti","Regione Autonoma Friuli Venezia Giulia","LR 19/2012; BUR FVG n. 42 del 17-10-2012","Testo vigente Lexview dal 2026-01-01; legge originaria 2012-10-11","https://lexview-int.regione.fvg.it/FontiNormative/xml/xmlLex.aspx?anno=2012&fx=leg&id=art1&legge=19&lista=0","2026-09-21","FVG","Requisiti regionali pertinenti agli impianti stradali","","SOURCE_METADATA_VERIFIED_2026-09-21","","Lexview regionale fornisce il testo coordinato vigente ma avverte che non sostituisce la pubblicazione ufficiale. Verificare in 90.1 gli articoli effettivamente rilevanti e, se necessario, affiancare il BUR originale."
"EXT-DATA-EU-TENTEC-01","DATA","TENtec Information System and TEN-T map library","Commissione europea — DG Mobility and Transport","TENtec Information System; map library TEN-T 2024","Mappe rete comprehensive/extended core/core pubblicate dal 2024; sistema consultato 2026-09-21","https://transport.ec.europa.eu/transport-themes/infrastructure-and-investment/trans-european-transport-network-ten-t/tentec-information-system-and-ten-t-map-library_en","2026-09-21","FVG / rete corrente","Geometrie e classificazione TEN-T","","OFFICIAL_SOURCE_PAGE_VERIFIED_2026-09-21","","Pagina ufficiale Commissione verificata. In 90.1 riconciliare il record con l'esatto dataset/geometria usato nel crosswalk FVG già validato nel nuovo progetto."
"EXT-DATA-FVG-IRDAT-01","DATA","IRDAT / GeoServer regionale","Regione Autonoma Friuli Venezia Giulia","","","","","FVG","Urbanistica, PPR, aree protette e altri tematismi effettivamente usati","","PROJECT_VALIDATED_BY_DATASET_EDITORIAL_NORMALIZATION_PENDING","","Registrare i singoli dataset, non solo il portale"
"EXT-PLAN-DAO-PGRA-01","PLAN","PGRA vigente / SIGMA","Autorità di Bacino Distrettuale delle Alpi Orientali","","","","","Distretto / versione vigente","Rischio idraulico e geometrie operative","","PROJECT_SOURCE_VERIFIED_EDITORIAL_METADATA_PENDING","",""
"EXT-PLAN-DAO-PAI-01","PLAN","PAI vigente e Norme di Attuazione","Autorità di Bacino Distrettuale delle Alpi Orientali","","","","","FVG / corpus pertinente","Pericolosità geologica e verifiche puntuali","","PROJECT_SOURCE_VERIFIED_EDITORIAL_METADATA_PENDING","",""
"EXT-PLAN-FVG-PPR-01","PLAN","Piano Paesaggistico Regionale FVG","Regione Autonoma Friuli Venezia Giulia","","","","","FVG / versione vigente","Compatibilità paesaggistica","","PROJECT_SOURCE_VERIFIED_EDITORIAL_METADATA_PENDING","",""
"EXT-DATA-OSM-01","DATA","OpenStreetMap / Overpass","OpenStreetMap contributors","","","","","FVG / snapshot usato","Proxy rete elettrica e baseline stradali dove applicabile","ODbL","PROJECT_SOURCE_VERIFIED_EDITORIAL_METADATA_PENDING","","Attribuzione obbligatoria"
"EXT-STAT-ISTAT-01","STAT","Fonti ISTAT effettivamente utilizzate","ISTAT","","","","","Italia/FVG / annualità da specificare","Popolazione, pendolarismo e supporti statistici","","PROJECT_VALIDATED_BY_DATASET_EDITORIAL_NORMALIZATION_PENDING","","Creare record separati per dataset distinti"
"EXT-TECH-ENERGY-01","TECH","Fonti GSE/DSO/Terna effettivamente utilizzate","GSE / DSO / Terna","","","","","FVG / data corrente","Controllo infrastrutture elettriche e limiti del proxy","","TO_COMPLETE","","Separare le fonti per operatore"
"EXT-LIT-METHOD-01","LIT","Letteratura metodologica di localizzazione/MCDM/ottimizzazione","da definire","","","","","","Giustificazione delle sole tecniche effettivamente adottate","","NOT_READY","","Non selezionare la letteratura prima della scelta metodologica"
